index,latitude,longitude,geometric mean low,geometric mean high,time low 1,time high 1,time low 2,time high 2
38,48.83333333333333,2.231111111111111,16.1245154965971,33.166247903554,10,20,26,55
89,48.888888888888886,2.26,16.24807680927192,36.742346141747674,22,45,12,30
97,48.9,2.202222222222222,16.73320053068151,40.98780306383839,35,70,8,24
6,48.8,2.1733333333333333,16.73320053068151,35.77708763999664,8,16,35,80
98,48.9,2.231111111111111,17.320508075688775,41.10960958218893,30,65,10,26
99,48.9,2.26,17.663521732655695,37.815340802378074,26,55,12,26
88,48.888888888888886,2.231111111111111,17.663521732655695,40.620192023179804,26,55,12,30
7,48.8,2.202222222222222,17.74823934929885,34.64101615137755,9,16,35,75
68,48.86666666666667,2.231111111111111,18.0,37.416573867739416,18,35,18,40
87,48.888888888888886,2.202222222222222,18.33030277982336,43.87482193696061,28,55,12,35
4,48.8,2.1155555555555554,18.708286933869708,43.81780460041329,10,24,35,80
8,48.8,2.231111111111111,18.708286933869708,40.0,10,20,35,80
17,48.81111111111111,2.202222222222222,18.708286933869708,34.64101615137755,10,16,35,75
79,48.87777777777777,2.26,18.76166303929372,42.42640687119285,22,45,16,40
18,48.81111111111111,2.231111111111111,18.973665961010276,37.416573867739416,12,20,30,70
28,48.82222222222222,2.231111111111111,18.973665961010276,37.815340802378074,12,22,30,65
48,48.84444444444444,2.231111111111111,19.595917942265423,37.416573867739416,16,28,24,50
15,48.81111111111111,2.1444444444444444,19.79898987322333,47.69696007084728,14,35,28,65
77,48.87777777777777,2.202222222222222,20.396078054371138,46.9041575982343,26,55,16,40
66,48.86666666666667,2.1733333333333333,20.396078054371138,46.9041575982343,26,55,16,40
86,48.888888888888886,2.1733333333333333,20.493901531919196,44.15880433163923,35,65,12,30
5,48.8,2.1444444444444444,20.493901531919196,44.15880433163923,12,26,35,75
76,48.87777777777777,2.1733333333333333,20.493901531919196,45.8257569495584,30,60,14,35
49,48.84444444444444,2.26,20.784609690826528,43.87482193696061,18,35,24,55
69,48.86666666666667,2.26,20.97617696340303,45.0,22,45,20,45
25,48.82222222222222,2.1444444444444444,21.633307652783937,48.98979485566356,18,40,26,60
13,48.81111111111111,2.0866666666666664,21.908902300206645,49.49747468305833,16,35,30,70
29,48.82222222222222,2.26,21.908902300206645,44.15880433163923,16,30,30,65
3,48.8,2.0866666666666664,21.908902300206645,48.78524367060187,12,28,40,85
67,48.86666666666667,2.202222222222222,21.908902300206645,49.749371855331,24,55,20,45
36,48.83333333333333,2.1733333333333333,21.908902300206645,42.661458015403085,16,28,30,65
65,48.86666666666667,2.1444444444444444,21.908902300206645,50.99019513592785,30,65,16,40
35,48.83333333333333,2.1444444444444444,21.908902300206645,49.749371855331,20,45,24,55
55,48.855555555555554,2.1444444444444444,22.44994432064365,46.9041575982343,28,55,18,40
39,48.83333333333333,2.26,22.44994432064365,47.69696007084728,18,35,28,65
78,48.87777777777777,2.231111111111111,22.80350850198276,44.721359549995796,26,50,20,40
45,48.84444444444444,2.1444444444444444,22.80350850198276,50.0,26,50,20,50
58,48.855555555555554,2.231111111111111,22.978250586152114,42.42640687119285,24,40,22,45
26,48.82222222222222,2.1733333333333333,23.2379000772445,51.234753829797995,18,35,30,75
33,48.83333333333333,2.0866666666666664,23.2379000772445,52.91502622129181,18,40,30,70
9,48.8,2.26,23.664319132398465,50.19960159204453,14,28,40,90
27,48.82222222222222,2.202222222222222,23.664319132398465,44.15880433163923,16,26,35,75
47,48.84444444444444,2.202222222222222,23.664319132398465,46.9041575982343,20,40,28,55
46,48.84444444444444,2.1733333333333333,24.0,50.0,24,50,24,50
24,48.82222222222222,2.1155555555555554,24.49489742783178,54.08326913195984,20,45,30,65
43,48.84444444444444,2.0866666666666664,24.49489742783178,52.91502622129181,20,40,30,70
